timestamp,action,hours_open,x_exchange,y_exchange,x_price,y_price,x_funding_rate,y_funding_rate,receiver,x_is_long,y_is_long,exit_reason,reason
2025-11-22 00:56:02.862136,hold,,hyperliquid,lighter,2762.4,2767.73,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:57:02.862376,hold,,hyperliquid,lighter,2765.2,2766.17,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:58:02.862557,hold,,hyperliquid,lighter,2764.2,2766.6,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 00:59:02.862801,hold,,hyperliquid,lighter,2765.0,2767.06,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:00:02.863038,hold,,hyperliquid,lighter,2765.0,2764.25,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:01:02.863332,hold,,hyperliquid,lighter,2762.7,2767.12,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:02:02.863584,hold,,hyperliquid,lighter,2765.2,2769.13,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:03:02.863821,hold,,hyperliquid,lighter,2767.1,2773.79,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:04:02.864065,hold,,hyperliquid,lighter,2771.9,2774.94,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:05:02.864338,hold,,hyperliquid,lighter,2772.4,2770.68,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:06:02.864580,hold,,hyperliquid,lighter,2768.1,2772.57,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:07:02.864819,hold,,hyperliquid,lighter,2770.9,2770.82,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:08:02.865084,hold,,hyperliquid,lighter,2768.5,2770.07,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:09:02.865341,hold,,hyperliquid,lighter,2768.0,2766.15,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:10:02.865579,hold,,hyperliquid,lighter,2763.9,2762.57,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:11:02.865813,hold,,hyperliquid,lighter,2760.5,2765.31,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:12:02.866066,hold,,hyperliquid,lighter,2763.1,2768.11,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:13:02.866332,hold,,hyperliquid,lighter,2766.2,2765.27,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:14:02.866546,hold,,hyperliquid,lighter,2762.8,2766.69,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:15:02.866795,hold,,hyperliquid,lighter,2764.5,2765.3,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:16:02.867017,hold,,hyperliquid,lighter,2763.4,2768.71,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:17:02.867260,hold,,hyperliquid,lighter,2766.3,2770.38,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:18:02.867488,hold,,hyperliquid,lighter,2768.0,2773.68,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:19:02.867730,hold,,hyperliquid,lighter,2771.3,2772.81,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:20:02.867958,hold,,hyperliquid,lighter,2770.7,2771.5,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:21:02.868207,hold,,hyperliquid,lighter,2769.3,2772.52,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:22:02.868458,hold,,hyperliquid,lighter,2769.9,2770.82,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:23:02.868718,hold,,hyperliquid,lighter,2768.8,2769.99,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:24:02.868947,hold,,hyperliquid,lighter,2768.1,2773.33,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:25:02.869131,hold,,hyperliquid,lighter,2771.0,2773.88,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:26:02.869391,hold,,hyperliquid,lighter,2771.7,2771.55,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:27:02.869638,hold,,hyperliquid,lighter,2769.5,2771.51,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:28:02.869887,hold,,hyperliquid,lighter,2769.6,2774.44,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:29:02.870136,hold,,hyperliquid,lighter,2772.5,2772.64,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:30:02.870382,hold,,hyperliquid,lighter,2771.1,2776.64,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:31:02.870635,hold,,hyperliquid,lighter,2774.4,2782.66,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:32:02.870885,hold,,hyperliquid,lighter,2781.2,2777.61,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:33:02.871129,hold,,hyperliquid,lighter,2775.1,2780.32,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:34:02.871378,hold,,hyperliquid,lighter,2778.4,2781.47,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:35:02.871560,hold,,hyperliquid,lighter,2778.9,2783.59,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:36:02.871794,hold,,hyperliquid,lighter,2781.1,2781.68,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:37:02.872048,hold,,hyperliquid,lighter,2779.2,2777.23,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:38:02.872329,hold,,hyperliquid,lighter,2774.4,2775.84,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:39:02.872573,hold,,hyperliquid,lighter,2773.3,2778.23,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:40:02.872811,hold,,hyperliquid,lighter,2776.2,2777.42,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:41:02.873059,hold,,hyperliquid,lighter,2775.1,2774.21,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:42:02.873346,hold,,hyperliquid,lighter,2772.0,2771.82,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:43:02.873582,hold,,hyperliquid,lighter,2769.7,2769.21,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:44:02.873821,hold,,hyperliquid,lighter,2766.6,2769.96,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:45:02.874057,hold,,hyperliquid,lighter,2767.6,2773.14,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:46:02.874317,hold,,hyperliquid,lighter,2770.8,2773.35,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:47:02.874537,hold,,hyperliquid,lighter,2771.1,2772.89,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:48:02.874795,hold,,hyperliquid,lighter,2770.7,2774.6,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:49:02.875019,hold,,hyperliquid,lighter,2772.4,2775.47,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:50:02.875250,hold,,hyperliquid,lighter,2772.9,2776.25,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:51:02.875491,hold,,hyperliquid,lighter,2774.0,2777.54,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:52:02.875732,hold,,hyperliquid,lighter,2775.1,2776.3,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:53:02.875986,hold,,hyperliquid,lighter,2774.6,2776.82,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:54:02.876210,hold,,hyperliquid,lighter,2774.6,2775.82,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:55:02.876451,hold,,hyperliquid,lighter,2774.0,2775.26,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:56:02.876679,hold,,hyperliquid,lighter,2773.3,2773.82,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:57:02.876904,hold,,hyperliquid,lighter,2771.7,2773.68,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:58:02.877142,hold,,hyperliquid,lighter,2772.0,2775.32,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 01:59:02.877387,hold,,hyperliquid,lighter,2773.5,2775.55,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:00:02.877624,hold,,hyperliquid,lighter,2773.6,2777.44,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:01:02.877868,hold,,hyperliquid,lighter,2775.3,2775.19,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:02:02.878098,hold,,hyperliquid,lighter,2773.4,2775.86,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:03:02.878365,hold,,hyperliquid,lighter,2774.4,2775.87,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-22 02:04:02.878607,hold,,hyperliquid,lighter,2773.9,2774.08,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
